Source	SourceType	Link	Target	TargetType
CageD1	Cage	R_C-1	CageD4	Cage
CageD1	Cage	R_C-2	CageD2	Cage
CageD4	Cage	R_C-3	CageD5	Cage
CageD2	Cage	R_C-4	CageD5	Cage
CageD2	Cage	R_C-5	CageD3	Cage
CageD5	Cage	R_C-6	CageD6	Cage
CageD3	Cage	R_C-7	CageD6	Cage
CageE1	Cage	R_D-1	CageE4	Cage
CageE1	Cage	R_D-2	CageE2	Cage`
CageE4	Cage	R_D-3	CageE5	Cage
CageE2	Cage	R_D-4	CageE5	Cage
CageE2	Cage	R_D-5	CageE3	Cage
CageE5	Cage	R_D-6	CageE6	Cage
CageE3	Cage	R_D-7	CageE6	Cage
CageF1	Cage	R_E-1	CageF4	Cage
CageF1	Cage	R_E-2	CageF2	Cage
CageF4	Cage	R_E-3	CageF5	Cage
CageF2	Cage	R_E-4	CageF5	Cage
CageF2	Cage	R_E-5	CageF3	Cage
CageF5	Cage	R_E-6	CageF6	Cage
CageF3	Cage	R_E-7	CageF6	Cage
CageG1	Cage	R_F-1	CageG4	Cage
CageG1	Cage	R_F-2	CageG2	Cage
CageG4	Cage	R_F-3	CageG5	Cage
CageG2	Cage	R_F-4	CageG5	Cage
CageG2	Cage	R_F-5	CageG3	Cage
CageG5	Cage	R_F-6	CageG6	Cage
CageG3	Cage	R_F-7	CageG6	Cage
CageH1	Cage	R_G-1	CageH4	Cage
CageH1	Cage	R_G-2	CageH2	Cage
CageH4	Cage	R_G-3	CageH5	Cage
CageH2	Cage	R_G-4	CageH5	Cage
CageH2	Cage	R_G-5	CageH3	Cage
CageH5	Cage	R_G-6	CageH6	Cage
CageH3	Cage	R_G-7	CageH6	Cage
CageI1	Cage	R_H-1	CageI4	Cage
CageI1	Cage	R_H-2	CageI2	Cage
CageI4	Cage	R_H-3	CageI5	Cage
CageI2	Cage	R_H-4	CageI5	Cage
CageI2	Cage	R_H-5	CageI3	Cage
CageI5	Cage	R_H-6	CageI6	Cage
CageI3	Cage	R_H-7	CageI6	Cage
CageJ1	Cage	R_I-1	CageJ4	Cage
CageJ1	Cage	R_I-2	CageJ2	Cage
CageJ4	Cage	R_I-3	CageJ5	Cage
CageJ2	Cage	R_I-4	CageJ5	Cage
CageJ2	Cage	R_I-5	CageJ3	Cage
CageJ5	Cage	R_I-6	CageJ6	Cage
CageJ3	Cage	R_I-7	CageJ6	Cage
CageK1	Cage	R_J-1	CageK4	Cage
CageK1	Cage	R_J-2	CageK2	Cage
CageK4	Cage	R_J-3	CageK5	Cage
CageK2	Cage	R_J-4	CageK5	Cage
CageK2	Cage	R_J-5	CageK3	Cage
CageK5	Cage	R_J-6	CageK6	Cage
CageK3	Cage	R_J-7	CageK6	Cage
CageL1	Cage	R_K-1	CageL4	Cage
CageL1	Cage	R_K-2	CageL2	Cage
CageL4	Cage	R_K-3	CageL5	Cage
CageL2	Cage	R_K-4	CageL5	Cage
CageL2	Cage	R_K-5	CageL3	Cage
CageL5	Cage	R_K-6	CageL6	Cage
CageL3	Cage	R_K-7	CageL6	Cage
CageM1	Cage	R_L-1	CageM4	Cage
CageM1	Cage	R_L-2	CageM2	Cage
CageM4	Cage	R_L-3	CageM5	Cage
CageM2	Cage	R_L-4	CageM5	Cage
CageM2	Cage	R_L-5	CageM3	Cage
CageM5	Cage	R_L-6	CageM6	Cage
CageM3	Cage	R_L-7	CageM6	Cage
CageN1	Cage	R_M-1	CageN4	Cage
CageN1	Cage	R_M-2	CageN2	Cage
CageN4	Cage	R_M-3	CageN5	Cage
CageN2	Cage	R_M-4	CageN5	Cage
CageN2	Cage	R_M-5	CageN3	Cage
CageN5	Cage	R_M-6	CageN6	Cage
CageN3	Cage	R_M-7	CageN6	Cage
CageC1	Cage	R_N-1	CageC4	Cage
CageC1	Cage	R_N-2	CageC2	Cage
CageC4	Cage	R_N-3	CageC5	Cage
CageC2	Cage	R_N-4	CageC5	Cage
CageC2	Cage	R_N-5	CageC3	Cage
CageC5	Cage	R_N-6	CageC6	Cage
CageC3	Cage	R_N-7	CageC6	Cage
