SubjectID	Tag
C4871	041B02C581
C4878	041B02C7BF
C4884	041B02C298
C4937	041B02CE70
C4958	041B02C407
D4872	041B02C476
D4879	041B02BF8F
D4885	041B02C073
D4887	041B02BE53
D4959	041B02C6E0
E4873	041B02CB83
E4888	041B02C30F
E4939	041B02CBA0
E4941	041B02CC29
E4960	041B02C50D
E4962	041B02C6E5
F4814	041B02C191
F4875	041AF89A54
F4881	041B02BF21
F4940	041B02C041
F4961	041B02CCC5
G4928	041B02BF4F
G4929	041B02C2BC
G4930	041B02CE1E
G4931	041B02C43F
G4932	041B02CDF1
H4859	041B02BF41
H4860	041B02C39F
H4861	041B02C431
H4862	041B02C5F3
I4863	041B02CBB6
I4864	041B02C8FB
I4865	041B02CB9B
I4866	041B02BE89
I4867	041B02CC37
J4806	041B02C76E
J4807	041B02C2C1
J4808	041B02C1A2
J4809	041B02BEB0
J4810	041B02BFF6
J4811	041B02C604
K4924	041B02C373
K4925	041B02C757
K4926	041B02C9DE
K4927	041B02C4F6
L5101	041B02CBF6
L5102	041B02BE4B
L5103	041B02CA05
L5104	041B02C5D2
M4812	041B02CD83
M4876	041B02BD4B
M4882	041B02C529
M4922	041B02CB19
M4923	041B02C756
N4877	041B02C7EB
N4880	041B02C909
N4883	041B02BEDF
N4921	041B02CC54
Unknown	041B02BDC9
